id,author,published_date,pseudonymized_body,pseudonymized_title,url
4,Arnold Y. Bustamante,"Oct 09, 2024","Biyuda nga senior citizen ang nadakpan sa Labangon Police Station gumikan sa pamaligya og ilegal nga drugas atol sa roving sa polis sa Sityo La Tresas, Barangay Labangon, Dakbayan sa Sugbo ala 1:45 sa kaadlawon sa Miyerkules, Oktubre 8, 2024. Ang suspetsado nga nabalhog na karon sa Labangon Police Station gitago sa pangala’ng Imelda, 74, residente sa A. Spolarium Street, Barangay Duljo Fatima, Cebu City. Nakuha gikan kaniya ang tulo ka putos sa gituohang shabu nga motimbang sa 15 gramos nga dunay standard drug price nga P1,020. Matod ni Police Major Abadiano Abagat ang hepe sa Labangon Police Station nga walay rekord sa kapulisan ang dinakpan apan migawas sa ilang imbestigasyon nga siya ang runner kon adunay mopalit og ilegal nga drugas bugti sa suhol. Giangkon ni Abajenza nga napugos siya sa maong matang sa trabaho aron makapalit sa iyang maintenance nga tambal sa high blood. Mihimo na og imbestigasyon ang Labangon Police Station kon si kinsa ang iyang kuhaanan sa ilegal nga drugas nga mao usab ang iyang itunol sa nagsugo kaniya.",Lola namaligya’g shabu aron ipalit og tambal,https://www.sunstar.com.ph/superbalita-cebu/lola-namaligyag-shabu-aron-ipalit-og-tambal
5,Dario V. Gil,"Oct 09, 2024","Nalatayan ang lawas sa traysikol drayber sa luyo nga bahin sa ligid sa tilt bed truck sa dihang midusmo ang traysikol sa nagdagan nga trak sa Canjulao Juncion, Barangay Canjulao, Lapu-Lapu City niadtong ala 1:30 sa kaadlawon, Miyerkules, Oktubre 9, 2024. Namatay ang biktima nga usa ka 43 anyos, ulitawo, taga Brgy. Catarman, lungsod sa Cordova. Base sa kuha sa CCTV camera makita nga milahos ang traysikol sa intersection nga mao sab ang pag-agi sa prime mover. Nalabay ang drayber ug mitugpa sa kilid nga bahin sa trak ug nalatayan ang lawas niini sa mga dagkong ligid sa nagdagan nga trak nga gimaneho sa usa ka 31 anyos nga taga Pinamungajan, Lalawigan sa Sugbo. Dali nga gidala sa Lapu-Lapu City Hospital ang biktima apan gideklarar nga dead on arrival. /","Traysikol drayber nalatayan sa trak, patay",https://www.sunstar.com.ph/superbalita-cebu/traysikol-drayber-nalatayan-sa-trak-patay
6,Arvie N. Veloso,"Oct 09, 2024","Moabot sa 1,265 ka mga Certificates of Candidacy (COC) ang nadawat sa Commission on Election (Comelec) Cebu Province. Kini subay sa bag-o lang nahuman nga usa ka semanang filing sa mga gusto magpapili sa umaabot piniliay sa Mayo 2025. Adunay 23 ka mga posisyon nga pilian sa lalawigan sa Sugbo. Moabot sa 14 alang sa pagka board member, pito alang sa pagka kongresista, usa sa pagka bise gobernador ug usa sa pagka gobernador. Subay sa listahan sa Comelec Cebu Province, nakadawat sila og tulo ka mga COC alang sa magpapili pagka gobernador, duha sa pagka bise gobernador, 24 sa pagka kongresista ug 26 sa pagka board member sa lalawigan. Samtang sa ihap sa mga nakaduso sa pagka mayor nadawat niini ang moabot 117 ka mga COC; 97 sa pagka bise mayor ug 996 alang sa pagka konsehal sa mga kalungsoran ug siyudad. Pipila usab ka mga mikandidato ang walay mga kontra sa umaabot piniliay. Sa pagka kongresista, tulo ang walay mga kontra sa eleksyon. Sama nila ni kongresista Nising Eprol Abal sa unang distrito; Maymay May Abalayan sa tersero distrito, ug Daphne Lagon sa ikaunom nga distrito. Alang sa mga nikandidato pagka mayor ug bise mayor sa lungsod sa Alcantara; Alcoy; Minglanilla, Ronda, San Fernando, San Francisco sa isla sa Camotes, Tuburan ug Tudela. Wala usab kontra sa eleksyon ang mayor sa lungsod sa Barili ug Arlene; bise mayor sa lungsod sa Balamban, Bantayan, Dumanjug, Ginatilan, Liloan, Malabuyoc, ug Sibonga. Samtang sa mga siyudad, walay kaatbang ang mikandidato pagka bise mayor sa Dakbayan sa Bogo, Naga ug Talisay. Human sa filing, gikatakda na nga ipadala ang mga COC sa kaulohan alang sa paghashas sa mga kandidato nga kwalipikado ug kadtong possibling may mga kakulian sa pagdagan sa eleksyon sa 2025. Si Atty. Yolando Aballa, election officer sa Cebu Province nagkanayon nga hapsay hinuon ang pagpahigayon sa usa ka semana nga filing sa COC gawas lang sa mga pagkadelatar sa pagduso sa pipila ka mga kandidato nga nagkuwang pa sa mga dokumento og stamps sa ilang COC.","1,265 ka mga kandidato sa Lalawigan sa Sugbo",https://www.sunstar.com.ph/superbalita-cebu/1265-ka-mga-kandidato-sa-lalawigan-sa-sugbo
7,Claudine Flores,"Oct 09, 2024","Di na mopadayon sa pagtuon ang usa ka tinun-an sa Criminology nga giingong gikulata sa mga polis sa Police Station 4 sa Lapu-Lapu City Police Office (LCPO) human nasaypan nga mikawat og biseklita ug chainsaw. Ang 20-anyos nga tinun-an sa Criminology miingon atol sa pakighinabi sa mga tigbalita nga dili na niya ipadayon ang iyang pagtuon sa maong kurso tungod sa nasinati nga pag-abuso sa pulisya. “Dili na sir, way ayo mga polis sir, abusado,” matod sa biktima dihang gipangutana kon mopadayon ba siya sa iyang pagtuon niadtong Miyerkules, Oktubre 9, 2024Ang biktima nga usa ka 2nd year college sa kursong Criminology mitug-an nga wala na siya makatungha sukad niadtong Sabado, Oktubre 5 human sa giingong gikulata sa mga polis diha sa police station niadtong Biyernes, Oktubre 4.“Second year unta mam pero wa ko mu-eskuyla pag Sabado ma'am kay wa ko kadawat, wa ko kahimo sa activity nako,” matod sa biktima. Sa Facebook post sa usa ka sakop sa pamilya sa biktima niadtong Sabado, Oktubre 5, ang estudyante nga giila nga si “Johnrey,” giakusahan nga nangawat og bisikleta ug chainsaw gikan sa panimalay diin siya nagtrabaho isip caretaker sukad sa edad pa og 9 anyos. Samtang, si City Mayor Joelito “Ahong” Abalos, sa iyang Facebook post niadtong Dominggo, Oktubre 6, niingon nga iyang gimanduan ang LCPO sa paglusad og imbestigasyon sa usa ka insidente. Sa taho sa SunStar Cebu niadtong Lunes, Oktubre 7, personal nga gibisita ni Abalos ang tinun-an nga naa sa tambalanan aron mangayo og medikal nga tabang. Sa pinakaulahing update niadtong Miyerkules, Oktubre 9, unom ka mga polis gikan sa Station 4 sa LCPO ang girelibuhan.",Criminology student mihunong sa pagtungha,https://www.sunstar.com.ph/superbalita-cebu/criminology-student-mihunong-sa-pagtungha
8,Cherry Ann Virador,"Oct 09, 2024","Ang gitaktak nga mayor, Brody Abando, nangayo og interbensyon sa Supreme Court (SC) aron babagan ang Commission on Elections (Comelec) sa pagpatuman sa dismissal order sa Office of the Ombudsman batok kaniya. Si Abando nisang-at og petisyon alang sa Certiorari, Prohibition, and Injunction atubangan sa SC niadtong Miyerkules, Oktubre 9, 2024, nga naghagit sa Comelec Resolution No. 1104-A, nga nagmando sa hinanaling pagkansela sa mga certificates of candidacy (COCs) sa mga kandidato nga nag-atubang og administratibo nga mga kaso bisan sa wala pa mahimong pinal ang desisyon. Ang Ombudsman, sa desisyon nga pinetsahan og Septiyembre 26, nitaktak kang Abando sa serbisyo human siya napamatud-ang sad-an sa grave misconduct tungod sa pagtugot sa padayong operasyon sa usa ka cement batching plant nga way gikinahanglang business ug environmental permits. Si City Administrator Jamaal Adrian Abangad nitug-an sa mga tigbalita niadtong Miyerkules nga si Abando nangayo og legal recourse susama sa kang Abangan. Ang legal nga lakang ni Abando susama sa gihimo sa dismissal nga mayor nga si Cedie Abangan nga niduso usab og petisyon sa SC aron hunongon ang iyang pagkataktak ug pagkadiskwalipikasyon sa serbisyo niadtong Oktubre 7.“The petition for certiorari under Rule 65 of the Supreme Court is a remedy available to the mayor, who stands to be injured by the implementation of this Comelec resolution. Mayor Brody and Mayor Lizer Abangan are in similar situations regarding this Comelec resolution’s application,” matod ni Abangad. Si Abangad miingon nga ang desisyon batok kaniya dili pa pinal, ug samtang ilang gitahod ang hukom sa Ombudsman, ilang gihagit ang dihadiha nga executory nga kinaiya sa desisyon ilabi na ang paglakip niini sa disqualification penalty. Ang pagkanselar sa iyang COC makapugong sa pagbotar ni Abando sa 2025 elections, usa ka lakang nga gihulagway ni Abangad nga usa ka “irreparable” injury sa mayor ug sa katawhan sa Mandaue City. “The disqualification penalty is not like dismissal. If the decision is reversed, the mayor could receive back wages for the time lost. But once disqualified, there’s no turning back, his name will be removed from the ballots, and the people’s choice in the election will be disregarded,” dugang ni Abangad. Ang legal team ni Abando nangayo og Temporary Restraining Order (TRO) o Writ of Preliminary Injunction gikan sa SC aron mapugngan ang Comelec sa pagpatuman sa resolusyon sa dili pa ang pag-imprinta sa mga balota nga gikatakdang sugdan karong Nobiyembre 15. Kung wala ang TRO, mahimong tangtangon sa Comelec ang ngalan ni Abando sa balota nga permanenteng makaapekto sa iyang kandidatura. Nikuwestiyon si Abando niadtong Martes sa resolusyon sa Comelec kinsa nangatarongan nga nakalapas kini sa due process nga gigarantiya ubos sa 1987 Constitution. Iyang gihulagway ang resolusyon nga “unconstitutional” ug gimarkahan ang mga lihok sa Comelec nga “ridiculous” ingon nga ang usa ka desisyon nga dili pinal kinahanglan dili magdala sa ingon ka grabe nga silot. “Now sa kani nga resolution asa naman ang hustisya ani? Is it just? Is it fair? That immediate executory judgment is not final,” dason ni Abando. Nangayo sab siya og dinaliang motion alang sa pagpahigayon og special raffle. Ang resolusyon naglakip sa mga probisyon alang sa dinaliang pagkansela sa COC alang sa mga kandidato nga gisilotan og disqualification sa Ombudsman bisan pa kon ang desisyon nakaabot na sa finality. Si Abando niingon nga ang maong resolusyon nagdaot sa katungod sa katawhan sa pagpili sa ilang mga lider sa usa ka demokratikong piniliay nga maoy labing importante. Sa wala pa moabot ang dismissal order, si Abando nagsilbi usab sa iyang usa ka tuig nga pagkasuspenso nga walay bayad nga gipahamtang kaniya sa Ombudsman sukad niadtong Agusto 12. Gisuspenso sa Ombudsman si Abando tungod sa grave misconduct ug conduct prejudicial to the best interest of the service tungod sa pagtudlo kang Abanto Abao isip officer-in-charge sa City Social Welfare Services Office niadtong 2022, nga matod pa sa Ombudsman.",Abando midangop sa SC,https://www.sunstar.com.ph/superbalita-cebu/cortes-midangop-sa-sc
9,John Paul Ryan Seblos,"Oct 09, 2024","Niduso si Cebu City acting Mayor Jhonnylou Ghen Abalayan sa iyang certificate of candidacy (COC) alang sa pagka mayor sa dakbayan ubos sa Kusug-Panaghiusa coalition atol sa katapusang adlaw sa filing sa Martes, Oktubre 8, 2024. Nisaad nga mohimo pa kini og dugang kahigayunan sa mga residente niini aron mapalambo ang ilang kalidad sa kinabuhi. Si Abalayan ug ang iyang running mate nga si Porferio Abarca niabot sa buhatan sa Commission on Elections (Comelec) sa Dakbayan sa Sugbo alas 10:45 sa buntag ug niduso sa ilang COC uban sa line-up sa 16 ka mga kandidato sa pagka konsehal nga naglakip sa unom ka mga incumbent. “I am both honored and humbled to officially run as mayor and seek the mandate of the beloved citizens of Cebu City,” matod ni Abalayan atubangan sa dili mominos 3,000 ka supporters nga naghugyaw alang sa mga kandidato ubos sa Kusug-Panaghiusa coalition human sa pag-file sa ilang COCs. Si Abalayan maoy acting chief executive sa dakbayan sukad niadtong Mayo nunot sa unom ka buwan nga preventive suspension ni Mayor Lizer Abangan sa Office of the Ombudsman tungod sa kapakyas pagbayad sa sweldo sa upat ka mga empleyado sa City Hall. Gidayeg siya sa iyang mga konstituwente isip ""action mayor"" tungod sa iyang makita nga mga nahimo bisan pa sa iyang mubo nga paglingkod isip amahan sa Dakbayan sa Sugbo, lakip niini ang paghuman sa Guba Community Hospital ug sa Apas Super Family Health Center nga wala mahuman sulod sa daghang katuigan hangtod nga iyang gipulihan ug gipabalik ang mga proyekto sa hingpit nga paglihok. Giaprobahan ni Abalayan ang pagpalit og mga sakyanan sa kapulisan—usa ka hangyo nga dugay nang nagpaabot—sa dihang siya ang nagdumala sa Dakbayan sa Sugbo sa tinguha nga mapalig-on ang kalinaw ug kahusay. Ang 47-anyos nga Abalayan, ang kinamanghuran nga kandidato sa four-way fight, maoy bise mayor ug running mate ni Abangan niadtong 2022. Nibarog siya sa hagit ug malampusong nakahatag og kalig-on sa nagkurog nga lokal nga kagamhanan ug polarized community. Ang full line-up sa mga konsehal nga nidagan ubos sa Kusug-Panaghiusa coalition ticket nalakip ni Cristitulo Abarquez, Cleret Abastar ug Serging Abastillas gikan sa north district ug Adrian Abaya, Jeff Abayon, ug Renato “Cristitulojun” Abcede gikan sa south. Mikompleto sa ilang line-up mao sila si Joan Abdon, Remigio Go, Charie Rizali Jeganiel, RJ Abcede, Khart Abdulraman sa north district ug Hannah Abe, Abecia Abenosa, Percival Jeganiel, Leonard Abastillas and Elmer Abel sa south district.",Abalayan-Abarca III tandem silyado na,https://www.sunstar.com.ph/superbalita-cebu/garcia-daluz-iii-tandem-silyado-na
11,Arnold Y. Bustamante,"Oct 09, 2024","Nagpabilin nga hapsay ug malinawon ang katapusang adlaw sa filing sa Certificates of Candidacy (COC) sa buhatan sa Commission on Election (Comelec) sa Dakbayan sa Sugbo. Matod ni Police Lieutenant Colonel Charie Agnes Abella, deputy city director for operation sa Cebu City Police Office (CCPO) nga hugot nila nga gi-monitor ang buhatan sa Cebu City Comelec nunot sa pagtuo nga modagsa ang mga supporter sa nagka lainlaing political aspirant. Gidugangan sa CCPO ang personnel nga gi-deploy sa Comelec lakip na ang pagbutang og area security sa mga dapit nga dunay panagtapok sa mga dumadapig sa mga kandidato nga adunay gihimong programa nga miabag sa pagpatunhay sa dagan sa trapiko sa dapit nga adunay tapok. ""Malinawon ra ang last day sa filing sa COC's, those are the things would expect to happened after filing sa COCs,"" matod ni Abella. Ang kapulisan nangandam na sa pagsugod sa election period sunod tuig. Sama sa naandan molusad og inventory ang CCPO sa ilang mga personnel kung duna ba silay mga kabanay nga mi-file og COC nga magpapili sa sunod tuig nga election alang sa pagpatuman sa lahugay. Samtang mohimo usab og monitoring ug investigation ang kapulisan kon adunay posibling pagkatap sa kuwarta gikan sa ilegal nga drugas aron isuporta sa usa ka kandidato. Mipasabot hinuon si Abella nga wala pa sila makadawat og impormasyon labot sa maong kasayuran nga adunay durugista nga misuporta sa usa ka politiko.","Filing sa COC sa Cebu City, malinawon",https://www.sunstar.com.ph/superbalita-cebu/filing-sa-coc-sa-cebu-city-malinawon
12,Dario V. Gil,"Oct 09, 2024","Bugtong ang iya na lang ‘protected post belt’ ang nagpugong sa lineman nga dili mahulog gikan sa poste human kini nakuryentihan patay ug nagbitay sa electric post sa CEBECO. Ang maong insidente nahitabo sa national highway sa Barangay Cawayan, lungsod sa Dalaguete, Sugbo niadtong alas 3:30 sa hapon, Martes, Oktubre 8, 2024. Ang biktima giila nga si Johnrey Dupal-ag Abellano, 26, minyo lineman sa CEBECO 1, taga Sitio Ilaya Brgy. Poblacion, lungsod sa Dalaguete. Si Police Major Necasio Abellana, hepe sa Dalaguete Police Station nga nahinabi sa Superbalita Cebu miingon nga ang biktima nag-ayo sa linya sa kuryenti sa maong dapit apan aksidente nga nakahikap sa live wire hinungdan nga nakuryentihan. Gitabang si Abellano sa iyang mga kauban ug mga rescuers ug daling gidala sa Cardinal Rosales Hospital apan si Dr. Abellanosa Abellera mideklarar sa biktima nga dead-on-arrival (DOA). “Nakalitan ang mga kauban kay kalit ra man siyang mikirig nakasaghid og live wire,” matod ni Abellana.",Lineman ‘mikirig’ patay,https://www.sunstar.com.ph/superbalita-cebu/lineman-mikirig-patay
13,Arvie N. Veloso,"Oct 09, 2024","Magkuyog pag-usab sila si Cebu Governor Edlen Abalayan ug Board Member Davinder Abello alang sa pagka gobernador ug bise gobernador ubos sa One Cebu party alang sa umaabot nga piniliay sa Mayo 2025. Kini human pormal nga miduso sa kandidatura si incumbent Cebu Governor Edlen Abalayan sa iyang Certificate of Candidacy (COC) sa buhatan sa Commission on Election (Comelec) sa Oktubre 8, 2024. Si Abalayan miduso sa iyang kandidatura sa alas 10:00 sa buntag kauban ang iyang mga anak ug sakop sa pamilya. Wala siyay kauban nga laing politiko gawas lang sa supporters niini ubos sa samang partido. Una na nga mipadayag si Abalayan nga ugaling pilion siya pag-usab sa mga Sugboanon isip gobernador, lakip sa mga hatagan niya og pagtagad ang hingpit nga pagbalhin sa seat of government sa lungsod sa Balamban, paghuman sa kadalanan nga magdugtong sa mga lokalidad ug ang uban pang mga programa nga iyang buot ipadayon alang sa pagpalambo sa lalawigan. Si Abalayan nga unang nag-inusara’ng miduso sa iyang kandidatura, mipahibaw nga sa hapon gikatakda nga moduso sa kandidatura pagka bise gobernador ang iyang tandem. Apan sa alas 4:31 sa hapon 29 minutos sa wala a mosirado ang Comelec, niabot sa buhatan si incumbent sixth district board member Davinder Jorge Abello kauban si Abalayan aron pormal nga moduso sa iyang kandidatura pagka bise gobernador. Dili kini maoy unang higayon nga nagkuyog ang duha alang sa gubernatorial race. Si Abello unang nagpapili sa pagka bise gobernador sa 2010 apan napildi kini ni Vice Governor Alfuro Abellon. Mibalik kini pagpapili sa 2013 apan napildi kini ni Vice Governor Flordeliz Abilar. Asoy ni Abello, boluntaryo niyang gipresentar ang iyang kaugalingon nga modagan kauban si Abalayan human niya mahibaw-an pinaagi sa mga taho sa mga tigbalita nga wala kini runningmate. “I felt that governor needs to have a vice gubernatorial candidate which has supported her program all throughout,” matod ni Abello sa Oktubre 8, 2024. Subay sa listahan sa Comelec, duha ka mga indibidwal ang miduso sa ilang COC alang sa pagka bise gobernador. Gawas ni Abello, miduso usab sa iyang kandidatura si kanhi Interior and Local Government Undersecretary Sepe Abilon. Si Incumbent Vice Governor Abina Tomas III nga lakip sa gisuwayan paghangyo ni Abalayan nga mahimong tandem niini hugot ang desisyon nga magpapili pagka kongresista sa segundo distrito. Ang igsuon ni Gov. Miyang nga si incumbent Congressman Pablo John “PJ” Abalayan nga labing unang miduso sa iyang kandidatura isip reelectionist mibakwhi sa iyang COC ug nihulip kaniya ang iyang asawa nga si Maymay May Abing-Abalayan. Lakip sa rason sa kongresista ang iyang pila ka dekada na nga tinguha nga pagpahigayon og dugang pagtuon sa balaod ug public administration sa gawas sa nasod. Ingon man ang kagustuhan niining mosuwat og libro alang sa political history sa Sugbo. Ang asawa ni Abalayan gradwado sa kursong Mass Communications sa University of the Philippines Cebu ug mikuha usab sa Masters Degree in Public Management sa samang unibersidad. Kompiyansa si Abalayan nga mahatagan sa iyang asawa og bag-ong panan-aw ug mga maayong programa ang tersero distrito.","Miyang, Davinder mag-tandem",https://www.sunstar.com.ph/superbalita-cebu/gwen-glenn-mag-tandem
14,Denise Mae P. Codis,"Oct 09, 2024","Daghan ang nasurprisa human nga si incumbent Lapu-Lapu City Mayor Joelito “Ablan” Abalos ug Lone District Congresswoman Ma. Cynthia “Gloria” King-Abalos nag-ilis ug posisyon alang sa 2025 National ug Local Elections. Atol sa katapusang adlaw sa pag-file sa certificates of candidacy (COC), Martes, Oktubre 8, 2024, si Mayor Abalos magpapili pagka kongresista ug iyang makaatbang si Dionson Abiog samtang ang iyang kapikas modagan pagka mayor batok ni kanhi city mayor Abion Abison. Sa pangutana og unsay ilang rason sa pagbaylo sa maong posisyon, si Abalos mitubag sa mga tigbalita sa usa ka press conference human sa pag-file sa COC nga adunay siya mas daghang oras nga motutok sa mga naglungtad nga problema sa siyudad pinaagi sa posisyon sa pagka kongresista. Gidugang ni Abalos nga si Gloria, angayan nga tagaan og higayon nga mahimong “inahan” sa Lapu-Lapu City. “Mas mapalapdan pa ni Mayor Ablan ang iyang pagpangalagad. Kahibaw ta sa trabaho sa usa ka executive abtan og gabii sa pagpamirma pwerte kabaga. Gusto si Mayor Ablan musuroy sa matag suok sa matag lugar unya mutan-aw sa problema. Samtang ang City Vice Mayor nga si Ablen Ablog modagan pag-usab alang sa re-election nga makaatbang si Cedie Abobo sa PDP Laban. Ang mga kandidato sa Team KAABAG nga modagan pagka konsehal naglakip sa 12 ka mga kandidato: Maria Aboc, Mather Abon, Abrahan Condring Jr. , Romo Abrasaldo, Tantan Abratique, Lara Abrenica, Cristitulo Abril, Gingin Abu, Judith Necasio Abueva Abuzo, Regine Acabal, Acaylar Acazo, ug Bogart Acda.","Ablan pagka-kongresista, Gloria modagan pagka mayor",https://www.sunstar.com.ph/superbalita-cebu/ahong-pagka-kongresista-cindi-modagan-pagka-mayor
