title,context,question,answer,article_id,qa_id
"Mananagat missing, nakaplagang patay na","Patay nang nakaplagan ang missing nga usa ka mananagat nga namukot apan naabtan sa kalit nga pag-unos sa dagat sa Sityo Aningan, Barangay Luyang, lungsod sa San Remigio, alas 4 sa hapon sa Miyerkules, Hulyo 24, 2024",Kanus-a nakaplagang patay ang mananagat?,"alas 4 sa hapon sa Miyerkules, Hulyo 24, 2024",331,4o-00331-001
"Mananagat missing, nakaplagang patay na","Patay nang nakaplagan ang missing nga usa ka mananagat nga namukot apan naabtan sa kalit nga pag-unos sa dagat sa Sityo Aningan, Barangay Luyang, lungsod sa San Remigio, alas 4 sa hapon sa Miyerkules, Hulyo 24, 2024",Hain dapit sa lungsod napalgan ang patay'ng mananagat?,"Sityo Aningan, Barangay Luyang, lungsod sa San Remigio",331,4o-00331-002
"Mananagat missing, nakaplagang patay na","Ang biktima giila nga si Cleret Calicdan Calimpon, 43, minyo, taga Purok 4, Brgy. Sab-a sa maong Lungsod",Kinsa ang biktima nga mananagat?,Cleret Calicdan Calimpon,331,4o-00331-003
"Mananagat missing, nakaplagang patay na","Ang biktima giila nga si Cleret Calicdan Calimpon, 43, minyo, taga Purok 4, Brgy. Sab-a sa maong Lungsod",Tagpila katuig ang biktima?,43,331,4o-00331-004
"Mananagat missing, nakaplagang patay na","Ang biktima giila nga si Cleret Calicdan Calimpon, 43, minyo, taga Purok 4, Brgy. Sab-a sa maong Lungsod",Asa nagpuleyo ang biktima?,"Purok 4, Brgy. Sab-a",331,4o-00331-005
"Mananagat missing, nakaplagang patay na","Sa pakisusi sa SunStar Cebu nasayran sa imbestigasyon sa kapulisan sa San Remigio ubos sa kamanduan sa hepe nga si P/Capt. Mico Bawalan, nga ang biktima kauban ni Calinao Calix nga mano-mano nga namukot dihang naabtan sa unos ug nihapak ang dagkong mga balod",Kinsa ang nakaupang sa biktima sa pagpukot?,Calinao Calix,331,4o-00331-006
"Mananagat missing, nakaplagang patay na","Sa pakisusi sa SunStar Cebu nasayran sa imbestigasyon sa kapulisan sa San Remigio ubos sa kamanduan sa hepe nga si P/Capt. Mico Bawalan, nga ang biktima kauban ni Calinao Calix nga mano-mano nga namukot dihang naabtan sa unos ug nihapak ang dagkong mga balod",Kinsa ang hepe nga nangulo sa imbestigasyon?,P/Capt. Mico Bawalan,331,4o-00331-007
"Mananagat missing, nakaplagang patay na",Si Bawalan nakahimo sa paglangoy padulong sa daplin ug nangayo og tabang sa kapulisan,Unsa ang gibuhat ni Bawalan aron makalikay sa kadaot?,paglangoy padulong sa daplin ug nangayo og tabang sa kapulisan,331,4o-00331-008
"Mananagat missing, nakaplagang patay na",Matod ni Calimpon nga nag-ubog-ubog lang sila sa dagat sa pagpamukot o wa na mogamit og sakayan,Unsang paagi ang gihimo nila Calimpon sa pagpukot sa dagat?,nag-ubog-ubog lang sila,331,4o-00331-009
"Mananagat missing, nakaplagang patay na",Apan si Calimpon nadala sa sulog sa bawod padulong sa lawom hinungdan nga na-missing,Unsa ang hinungdan nga nawala si Calimpon?,nadala sa sulog sa bawod padulong sa lawom,331,4o-00331-010
"Mananagat missing, nakaplagang patay na","Gipahigayon dayon ang search ang rescue operation sa mga sakop sa Micoippine Coast Guard San Remigio, Micoippine National Police (PNP) ug Municipal Disaster Risk Reduction Management Office (MDRRMO) San Remigio apan wa dayon makit-i",Hain nga mga ahensya ang na-involve sa pagpangita ni Calimpon?,"Micoippine Coast Guard San Remigio, Micoippine National Police (PNP) ug Municipal Disaster Risk Reduction Management Office (MDRRMO) San Remigio",331,4o-00331-011
"Mananagat missing, nakaplagang patay na","Sa follow up interview sa Superbalita Cebu pinaagi ngadto kang Petty Officer 2 Ranil Andrei Alberto, ang sub-station commander sa PCG San Remigio, niingon nga nakadawat sila’g tawag alas 6 buntag, Huwebes, Hulyo 25, 2024, nagpahibalo nga may mananagat nga nakakita kang Calimpon nga naglutaw apan patay na, sa kadagatan sa Barangay Victoria nga silingang dapit sa Luyang sa samang lungsod",Kinsa ang sub-station commander nga gi-interview bahin sa kaso ni Calimpon?,Petty Officer 2 Ranil Andrei Alberto,331,4o-00331-012
"Mananagat missing, nakaplagang patay na","Sa follow up interview sa Superbalita Cebu pinaagi ngadto kang Petty Officer 2 Ranil Andrei Alberto, ang sub-station commander sa PCG San Remigio, niingon nga nakadawat sila’g tawag alas 6 buntag, Huwebes, Hulyo 25, 2024, nagpahibalo nga may mananagat nga nakakita kang Calimpon nga naglutaw apan patay na, sa kadagatan sa Barangay Victoria nga silingang dapit sa Luyang sa samang lungsod",Kanus-a nakadawat og tawag ang mga awtoridad mahitungod sa pagkaplag kang Calimpon?,"alas 6 buntag, Huwebes, Hulyo 25, 2024",331,4o-00331-013
"Mananagat missing, nakaplagang patay na","Sa follow up interview sa Superbalita Cebu pinaagi ngadto kang Petty Officer 2 Ranil Andrei Alberto, ang sub-station commander sa PCG San Remigio, niingon nga nakadawat sila’g tawag alas 6 buntag, Huwebes, Hulyo 25, 2024, nagpahibalo nga may mananagat nga nakakita kang Calimpon nga naglutaw apan patay na, sa kadagatan sa Barangay Victoria nga silingang dapit sa Luyang sa samang lungsod",Asa dapit nakaplagan ang lawas ni Calimpon nga naglutaw?,sa kadagatan sa Barangay Victoria nga silingang dapit sa Luyang,331,4o-00331-014
"Mananagat missing, nakaplagang patay na",Giadto dayon sa team sa rescuers ug nasuta nga si Calimpon ang nakaplagang patay na,Unsa ang gihimo sa mga rescuers human ang tawag bahin kang Calimpon?,Giadto dayon sa team sa rescuers ug nasuta nga si Calimpon ang nakaplagang patay na,331,4o-00331-015
"Mananagat missing, nakaplagang patay na","Patay nang nakaplagan ang missing nga usa ka mananagat nga namukot apan naabtan sa kalit nga pag-unos sa dagat sa Sityo Aningan, Barangay Luyang, lungsod sa San Remigio, alas 4 sa hapon sa Miyerkules, Hulyo 24, 2024",Unsa ang nahitabo sa mananagat sa pag-unsa sa dagat?,Patay nang nakaplagan,331,4o-00331-016
"Mananagat missing, nakaplagang patay na","Sa pakisusi sa SunStar Cebu nasayran sa imbestigasyon sa kapulisan sa San Remigio ubos sa kamanduan sa hepe nga si P/Capt. Mico Bawalan, nga ang biktima kauban ni Calinao Calix nga mano-mano nga namukot dihang naabtan sa unos ug nihapak ang dagkong mga balod",Unsa ang sitwasyon sa dagat dihang namukot sila Calimpon?,naabtan sa unos ug nihapak ang dagkong mga balod,331,4o-00331-017
"Mananagat missing, nakaplagang patay na","Gipahigayon dayon ang search ang rescue operation sa mga sakop sa Micoippine Coast Guard San Remigio, Micoippine National Police (PNP) ug Municipal Disaster Risk Reduction Management Office (MDRRMO) San Remigio apan wa dayon makit-i",Unsa ang gibuhat sa mga awtoridad pagkahuman nga mabalita ang pagkamingaw ni Calimpon?,Gipahigayon dayon ang search ang rescue operation,331,4o-00331-018
"Mananagat missing, nakaplagang patay na",Matod ni Calimpon nga nag-ubog-ubog lang sila sa dagat sa pagpamukot o wa na mogamit og sakayan,Ngano nga wala na sila mogamit og sakayan sa pagbulantad?,wa na mogamit og sakayan,331,4o-00331-019
"Mananagat missing, nakaplagang patay na",Apan si Calimpon nadala sa sulog sa bawod padulong sa lawom hinungdan nga na-missing,Asa nadala si Calimpon nga hinungdan sa iyang pagkawala?,padulong sa lawom,331,4o-00331-020
P19. 2M danyos sa sunog sa hardware,"Gibana-bana nga mokabat sa P19,250, 000 ang danyos sa sunog sa Federal North Hardware, Inc. sa M. J. Abaya Ave. , Eskina sa Dan T. Padilla, Barangay Tejero, Siyudad sa Sugbo, sa alas 7:08 sa gabii, Miyerkules, Hunyo 24, 2024","Pila ang gibana-bana nga danyos sa sunog sa Federal North Hardware, Inc.?","P19,250, 000",332,4o-00332-001
P19. 2M danyos sa sunog sa hardware,"Sumala sa Cebu City Fire Office (CCFO), ang sunog giisa sa 1st alarm sa alas 7:15 sa gabii, 2nd alarm sa alas 7:42 sa gabii ug fire under control sa ala 1:32 sa kaadlawon sa Huwebes, Hulyo 25, 2024, ug gideklarar nga fire out sa alas 5:02 na sa buntag",Kanus-a giisa ang sunog sa 1st alarm sumala sa CCFO?,"alas 7:15 sa gabii, Miyerkules, Hunyo 24, 2024",332,4o-00332-002
P19. 2M danyos sa sunog sa hardware,"Sumala sa Cebu City Fire Office (CCFO), ang sunog giisa sa 1st alarm sa alas 7:15 sa gabii, 2nd alarm sa alas 7:42 sa gabii ug fire under control sa ala 1:32 sa kaadlawon sa Huwebes, Hulyo 25, 2024, ug gideklarar nga fire out sa alas 5:02 na sa buntag",Kanus-a gideklarar nga fire out na ang sunog?,"alas 5:02 na sa buntag, Huwebes, Hulyo 25, 2024",332,4o-00332-003
P19. 2M danyos sa sunog sa hardware,"Ang tulo ka mga angol mao sila si FO3 Rodrigo Giovanni, 35, minyo, kinsa napuling human dunay nipisik tumong sa iyang tuong mata; FO1 Agelio Calixto, 29, ulitawo, napangag human namumo sa ladder; ug Dionson Abueva Lenon, single, 20, ulitawo, napaso sa iyang nawong human napiksan og wala matino nga kemikal",Kinsa si FO3 Rodrigo Giovanni?,"angol, 35, minyo, kinsa napuling human dunay nipisik tumong sa iyang tuong mata",332,4o-00332-004
P19. 2M danyos sa sunog sa hardware,"Ang tulo ka mga angol mao sila si FO3 Rodrigo Giovanni, 35, minyo, kinsa napuling human dunay nipisik tumong sa iyang tuong mata; FO1 Agelio Calixto, 29, ulitawo, napangag human namumo sa ladder; ug Dionson Abueva Lenon, single, 20, ulitawo, napaso sa iyang nawong human napiksan og wala matino nga kemikal",Unsa ang kahimtang ni FO1 Agelio Calixto?,"ulibaw, napangag human namumo sa ladder",332,4o-00332-005
P19. 2M danyos sa sunog sa hardware,"Ang tulo ka mga angol mao sila si FO3 Rodrigo Giovanni, 35, minyo, kinsa napuling human dunay nipisik tumong sa iyang tuong mata; FO1 Agelio Calixto, 29, ulitawo, napangag human namumo sa ladder; ug Dionson Abueva Lenon, single, 20, ulitawo, napaso sa iyang nawong human napiksan og wala matino nga kemikal",Unsay gibati ni Dionson Abueva Lenon atol sa sunog?,napaso sa iyang nawong human napiksan og wala matino nga kemikal,332,4o-00332-006
P19. 2M danyos sa sunog sa hardware,"Atol ning pagsuwat, ang CCFO wala mohatag og ubang mga detalye sa hinungdan sa sunog tungod kay nagpadayon pa ang imbestigasyon nga gipangulohan ni FO2 Lycel Ariadne Calixtro",Kinsa ang nagpadayon sa imbestigasyon sa sunog?,FO2 Lycel Ariadne Calixtro,332,4o-00332-007
P19. 2M danyos sa sunog sa hardware,Naobserbahan nga dugay napawong ang sunog sa hardware tungod sa ubang mga baligya nga kemikal ug mga kahoy,Ngano nga dugay napawong ang sunog sa hardware?,tungod sa ubang mga baligya nga kemikal ug mga kahoy,332,4o-00332-008
P19. 2M danyos sa sunog sa hardware,"Gibana-bana nga mokabat sa P19,250, 000 ang danyos sa sunog sa Federal North Hardware, Inc. sa M. J. Abaya Ave. , Eskina sa Dan T. Padilla, Barangay Tejero, Siyudad sa Sugbo, sa alas 7:08 sa gabii, Miyerkules, Hunyo 24, 2024","Asa nahitabo ang sunog sa Federal North Hardware, Inc.?","M. J. Abaya Ave. , Eskina sa Dan T. Padilla, Barangay Tejero, Siyudad sa Sugbo",332,4o-00332-009
P19. 2M danyos sa sunog sa hardware,"Sumala sa Cebu City Fire Office (CCFO), ang sunog giisa sa 1st alarm sa alas 7:15 sa gabii, 2nd alarm sa alas 7:42 sa gabii ug fire under control sa ala 1:32 sa kaadlawon sa Huwebes, Hulyo 25, 2024, ug gideklarar nga fire out sa alas 5:02 na sa buntag",Kanus-a na kontrol ang sunog sumala sa CCFO?,"ala 1:32 sa kaadlawon, Huwebes, Hulyo 25, 2024",332,4o-00332-010
P19. 2M danyos sa sunog sa hardware,"Gibana-bana nga mokabat sa P19,250, 000 ang danyos sa sunog sa Federal North Hardware, Inc. sa M. J. Abaya Ave. , Eskina sa Dan T. Padilla, Barangay Tejero, Siyudad sa Sugbo, sa alas 7:08 sa gabii, Miyerkules, Hunyo 24, 2024",Unsa orasa nagsugod ang sunog sa hardware?,"alas 7:08 sa gabii, Miyerkules, Hunyo 24, 2024",332,4o-00332-011
P19. 2M danyos sa sunog sa hardware,"Ang tulo ka mga angol mao sila si FO3 Rodrigo Giovanni, 35, minyo, kinsa napuling human dunay nipisik tumong sa iyang tuong mata; FO1 Agelio Calixto, 29, ulitawo, napangag human namumo sa ladder; ug Dionson Abueva Lenon, single, 20, ulitawo, napaso sa iyang nawong human napiksan og wala matino nga kemikal",Pila ang edad ni Dionson Abueva Lenon?,20,332,4o-00332-012
P19. 2M danyos sa sunog sa hardware,"Gibana-bana nga mokabat sa P19,250, 000 ang danyos sa sunog sa Federal North Hardware, Inc. sa M. J. Abaya Ave. , Eskina sa Dan T. Padilla, Barangay Tejero, Siyudad sa Sugbo, sa alas 7:08 sa gabii, Miyerkules, Hunyo 24, 2024",Unsa ang pangalan sa hardware nga nasunog?,"Federal North Hardware, Inc",332,4o-00332-013
P19. 2M danyos sa sunog sa hardware,"Atol ning pagsuwat, ang CCFO wala mohatag og ubang mga detalye sa hinungdan sa sunog tungod kay nagpadayon pa ang imbestigasyon nga gipangulohan ni FO2 Lycel Ariadne Calixtro",Nganong wala pa mohatag ang CCFO ug ubang mga detalye sa hinungdan sa sunog?,nagpadayon pa ang imbestigasyon,332,4o-00332-014
P19. 2M danyos sa sunog sa hardware,Naobserbahan nga dugay napawong ang sunog sa hardware tungod sa ubang mga baligya nga kemikal ug mga kahoy,Unsa ang hinungdan sa kalisod sa pagpawong sa sunog?,ubang mga baligya nga kemikal ug mga kahoy,332,4o-00332-015
P19. 2M danyos sa sunog sa hardware,"Sumala sa Cebu City Fire Office (CCFO), ang sunog giisa sa 1st alarm sa alas 7:15 sa gabii, 2nd alarm sa alas 7:42 sa gabii ug fire under control sa ala 1:32 sa kaadlawon sa Huwebes, Hulyo 25, 2024, ug gideklarar nga fire out sa alas 5:02 na sa buntag",Unsa kaha ang orasa sa 2nd alarm sa sunog?,"alas 7:42 sa gabii, Miyerkules, Hunyo 24, 2024",332,4o-00332-016
P19. 2M danyos sa sunog sa hardware,"Ang tulo ka mga angol mao sila si FO3 Rodrigo Giovanni, 35, minyo, kinsa napuling human dunay nipisik tumong sa iyang tuong mata; FO1 Agelio Calixto, 29, ulitawo, napangag human namumo sa ladder; ug Dionson Abueva Lenon, single, 20, ulitawo, napaso sa iyang nawong human napiksan og wala matino nga kemikal",Unsay naigo sa tuong mata ni Rodrigo Giovanni?,dunay nipisik tumong sa iyang tuong mata,332,4o-00332-017
P19. 2M danyos sa sunog sa hardware,Naobserbahan nga dugay napawong ang sunog sa hardware tungod sa ubang mga baligya nga kemikal ug mga kahoy. / DVG,Kinsa ang nagsuwat sa artikulo mahitungod sa sunog sa hardware?,DVG,332,4o-00332-018
P19. 2M danyos sa sunog sa hardware,"Sumala sa Cebu City Fire Office (CCFO), ang sunog giisa sa 1st alarm sa alas 7:15 sa gabii, 2nd alarm sa alas 7:42 sa gabii ug fire under control sa ala 1:32 sa kaadlawon sa Huwebes, Hulyo 25, 2024, ug gideklarar nga fire out sa alas 5:02 na sa buntag",Unsa ang status sa sunog sa ala 1:32 sa kaadlawon?,fire under control,332,4o-00332-019
P19. 2M danyos sa sunog sa hardware,"Gibana-bana nga mokabat sa P19,250, 000 ang danyos sa sunog sa Federal North Hardware, Inc. sa M. J. Abaya Ave. , Eskina sa Dan T. Padilla, Barangay Tejero, Siyudad sa Sugbo, sa alas 7:08 sa gabii, Miyerkules, Hunyo 24, 2024",Kinsa ang nagpatik sa artikulo?,wala gihatag sa artikulo,332,4o-00332-020
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,Nihangyo ang Kagamhanan sa Dakbayan sa Sugbo nga magpabilin sa building nga gipanag-iya sa Metropolitan Cebu Water District (MCWD) sulod pa sa usa ka tuig samtang wala pa sila makakita og angay nga lugar para kabalhinan sa ilang mga opisina,Unsa ang gihangyo sa Kagamhanan sa Dakbayan sa Sugbo sa MCWD?,magpabilin sa building,333,4o-00333-001
City Hall nakigsabot bahin sa paggamit sa karaang MCWD bldg.,"Si Acting Mayor Jhonnylou Ghen Abalayan niingon sa press conference niadtong Huwebes, Hulyo 25, 2024, nga ang syudad padayon pang nakigsabot sa MCWD",Kinsa ang nag-ingon nga ang syudad padayon pang nakigsabot sa MCWD?,Si Acting Mayor Jhonnylou Ghen Abalayan,333,4o-00333-002
